Author,Organization Name,Type
Gautam A.,Brigham Young University,University
Crandall J.W.,Brigham Young University,University
Goodrich M.A.,Brigham Young University,University
de Moura Oliveira P.B.,University of Trás-os-Montes and Alto Douro (UTAD),University
Hedengren J.D.,Brigham Young University,University
Hedengren J.D.,Ira A. Fulton College of Engineering and Technology,University
Hedengren J.D.,Brigham Young UniversityUT,University
Hedengren J.D.,Brigham Young Univ.,University
Boaventura-Cunha J.,University of Trás-os-Montes and Alto Douro (UTAD),University
Bunnell S.,Brigham Young University,University
Gorrell S.,Brigham Young University,University
Salmon J.,Brigham Young University,University
Thelin C.,Brigham Young University,University
Ruoti C.,East Hartford,Company
Ruoti C.,Pratt and Whitney,Company
Richardson M.,Brigham Young University,University
Cannon S.,Brigham Young University,University
Teichert L.,Brigham Young University,University
Vance A.,Brigham Young University,University
Vance A.,Temple University,University
Kramer I.,Brigham Young University,University
Barter M.,Brigham Young University,University
King J.,University of California,University
Callahan C.,Brigham Young University,University
Stanković A.M.,Tufts University,University
Sarić A.A.,Tufts University,University
Sarić A.T.,Dept. of Power,Company
Sarić A.T.,Department of Power,Company
Sarić A.T.,University of Novi Sad,University
Transtrum M.K.,Brigham Young University,University
Transtrum M.K.,Brigham Young UniversityUT,University
Hackney D.,North Carolina State University,University
Goode T.,North Carolina State University,University
Seng F.,Brigham Young University,University
Pankow M.,North Carolina State University,University
Schultz S.,Brigham Young University,University
Peters K.,North Carolina State University,University
Coburn J.,Brigham Young University,University
Freeman I.,Brigham Young University,University
Švenda V.G.,Tufts University,University
Walker Z.,Brigham Young University,University
Wells T.,Brigham Young University,University
Lay K.,Brigham Young University,University
Sampad M.J.N.,University of California,University
Schmidt H.,University of California Santa Cruz,University
Schmidt H.,BTU Cottbus-Senftenberg,Company
Schmidt H.,University of California at Santa Cruz,University
Schmidt H.,Brandenburgische Technische Universität Cottbus-Senftenberg,University
Schmidt H.,University of Californnia at Santa Cruz,University
Schmidt H.,University of California,University
Hawkins A.,Brigham Young University,University
Wu F.,Jinan University,University
Zhou Z.,Brigham Young University,University
Temizel-Sekeryan S.,University of Wisconsin-Madison,University
Ghamkhar R.,University of Wisconsin-Madison,University
Hicks A.L.,University of Wisconsin-Madison,University
Larsen B.,Brigham Young University,University
Hunt J.,Brigham Young University,University
Hovanski Y.,Brigham Young University,University
Peterson C.K.,Brigham Young University,University
Peterson C.K.,Brigham Young University ProvoUT,University
Casbeer D.W.,Air Force Research Laboratory,Company
Manyam S.G.,Infoscitex Corporation,Company
Rasmussen S.,Miami Valley Aerospace Llc,Company
Hackney D.A.,North Carolina State University,University
Zou Z.,Brigham Young University,University
Scott M.A.,Brigham Young University,University
Miao D.,Brigham Young University,University
Bischoff M.,Institute for Structural Mechanics,University
Oesterle B.,Institute for Structural Mechanics,University
Dornisch W.,Technische Universität Kaiserslautern,University
Dornisch W.,Brandenburgische Technische Universität Cottbus-Senftenberg,University
Rice M.,Brigham Young University,University
Clark B.,Brigham Young University,University
Flanary D.,Brigham Young University,University
Jensen B.,Brigham Young University,University
Nelson N.,Brigham Young University,University
Norman K.,Brigham Young University,University
Perrins E.,University of Kansas,University
Perrins E.,Brigham Young University,University
Harrison W.K.,Brigham Young University,University
Harrison W.K.,Brigham Young UniversityUT,University
Hendricks L.J.,Brigham Young University,University
Baxter J.S.,Brigham Young University,University
Chou Y.,SYSU-CMU Shunde International Joint Research Institute,University
Chou Y.,Brigham Young University,University
Thomas M.,Brigham Young University,University
Thomas M.,Roseman University of Health Sciences,University
Boekweg E.,Brigham Young University,University
Guthrie W.S.,Brigham Young University,University
Mazzeo B.A.,Brigham Young University,University
Gardner J.W.,Brigham Young University,University
Mulford R.B.,Brigham Young University,University
Mulford R.B.,University of Dayton,University
Salt S.D.,Brigham Young University,University
Hyatt L.P.,Brigham Young University,University
Meaker K.S.,Brigham Young University,University
Dwivedi V.H.,NASA Goddard Space Flight Center,Company
Jones M.R.,Brigham Young University,University
Iverson B.D.,Brigham Young University,University
Lu W.,University of Wyoming,University
Cao Q.,University of Wyoming,University
Xu B.,University of Wyoming,University
Adidharma H.,University of Wyoming,University
Gasem K.,University of Wyoming,University
Argyle M.,Brigham Young University,University
Zhang F.,University of Wyoming,University
Zhang Y.,Brigham Young University,University
Zhang Y.,Western Research Institute,University
Fan M.,University of Wyoming,University
Webb D.,Brigham Young University,University
Song Y.,Brigham Young Univeristy,University
Song Y.,Brigham Young University,University
Rozsa J.,Brigham Young University,University
Gustafson E.,Brigham Young University,University
Austin D.E.,Brigham Young University,University
Hawkins A.R.,Brigham Young University,University
Hawkins A.R.,University of California Santa Cruz,University
Hawkins A.R.,University of California,University
Chiang S.-H.W.,Brigham Young Univeristy,University
Chiang S.-H.W.,Brigham Young University,University
Lam S.-H.,Brigham Young University Provo,University
Brewer E.,Brigham Young University Provo,University
Ng Y.-K.,Brigham Young University Provo,University
Ng Y.-K.,Brigham Young University,University
Erickson H.C.,Brigham Young University,University
Homer E.R.,Brigham Young University,University
Huang J.-S.,National Chiao Tung University,University
Huang Y.-C.,National Chiao Tung University,University
Kao C.-W.,National Chiao Tung University,University
Hsu C.-W.,National Chiao Tung University,University
Chen C.-H.,National Chiao Tung University,University
Wallace J.W.,Lafayette College,University
Mahmood A.,LifeLink Foundation,Company
Mahmood A.,Brigham Young University,University
Mahmood A.,Wavetronix Llc,Company
Jensen M.A.,Brigham Young University,University
Mehmood R.,Wavetronix LLC,Company
Mehmood R.,Brigham Young University,University
Mehmood R.,Wavetronix Llc,Company
Mehmood R.,Wavetronix,Company
Koch D.P.,Brigham Young University,University
Wheeler D.O.,Brigham Young University,University
Beard R.W.,NASA Langley Research Center,Company
Beard R.W.,Brigham Young University,University
McLain T.W.,Brigham Young University,University
Brink K.M.,Air Force Research Laboratory,Company
Amini E.,Brigham Young University,University
Babaei A.,Sharif University of Technology,University
Mehrnia M.R.,College of Engineering,University
Shayegan J.,Sharif University of Technology,University
Safdari M.-S.,Brigham Young University,University
Weaver B.P.,Statistical Sciences Group,Company
Kaufeld K.,Statistical Sciences Group,Company
Warr R.,Brigham Young University,University
Pack A.T.,Brigham Young University,University
Phipps E.R.,Brigham Young University,University
Mattson C.A.,Brigham Young University,University
Dahlin E.C.,Brigham Young University,University
White J.H.,Brigham Young University,University
Clark R.,Brigham Young University,University
Dickinson T.,Brigham Young University,University
Loaiza J.,Brigham Young University,University
Geiger D.W.,Brigham Young University,University
Charles S.K.,Brigham Young University,University
Rose M.T.,Brigham Young University,University
Pielstick B.D.,Brigham Young University,University
Jones Z.T.,Brigham Young University,University
Sommerfeldt S.D.,Brigham Young University,University
Gee K.L.,Brigham Young University,University
Thomson S.L.,Brigham Young University,University
Magleby S.P.,Brigham Young University,University
Magleby S.P.,Utah Valley University,University
Howell L.L.,Brigham Young University,University
Willis J.,Brigham Young University,University
Willis J.,BYU MAGICC Lab.,Company
Johnson J.,Brigham Young University,University
Johnson J.,BYU MAGICC Lab.,Company
Libano F.,Institute of Informatics,University
Libano F.,Arizona State University (ASU),University
Wilson B.,Brigham Young University (BYU),University
Wilson B.,Brigham Young University,University
Wirthlin M.,Brigham Young University (BYU),University
Wirthlin M.,Brigham Young University,University
Rech P.,Institute of Informatics,University
Rech P.,Los Alamos National Laboratory (LANL),Company
Brunhaver J.,Arizona State University (ASU),University
Lawson J.,Brigham Young University,University
Afran M.S.,University of Texas at Dallas,University
Afran M.S.,Intel Communications and Devices Group,Company
Afran M.S.,The University of Texas,University
Afran M.S.,The University of Texas at Dallas,University
Saquib M.,University of Texas at Dallas,University
Saquib M.,The University of Texas at Dallas,University
Saquib M.,The University of Texas,University
Ellingson G.,Brigham Young University,University
Brink K.,Munitions Directorate,Company
Brink K.,Air Force Research Laboratory,Company
Brink K.,U.S. Air Force Research Laboratory,Company
McLain T.,Brigham Young University,University
Sansom R.L.,College of Physical and Mathematical Sciences,University
Bodily R.,Brigham Young University,University
Bodily R.,Senior Data Scientist,Company
Bates C.O.,College of Physical and Mathematical Sciences,University
Leary H.,Brigham Young University,University
Small K.A.,Johns Hopkins University,University
Clayburn Z.,Brigham Young University,University
DeMott R.,School of Materials Science and Engineering,Company
Primig S.,School of Materials Science and Engineering,Company
Fullwood D.,Brigham Young University,University
Taheri M.L.,Johns Hopkins University,University
McLeod A.R.,Brigham Young University,University
Bruening D.,Brigham Young University,University
Johnson A.W.,Brigham Young University,University
Ward J.,Brigham Young University,University
Hunter I.,Brigham Young University,University
Camacho R.M.,Brigham Young University,University
Fish D.,Brigham Young University,University
Simmons M.,Brigham Young University,University
Awerkamp P.,Brigham Young University,University
Anderson R.,Brigham Young University,University
Carlson S.,Brigham Young University,University
