Paper,Citation
Simultaneous Global Identification of Dynamic and Network Parameters in Transient Stability Studies,Measurement-Directed Reduction of Dynamic Models in Power Systems
Neutron Radiation Beam Results for the Xilinx UltraScale+ MPSoC,Mitigated FPGA design of multi-gigabit transceivers for application in high radiation environments of High Energy Physics experiments
Neutron Radiation Beam Results for the Xilinx UltraScale+ MPSoC,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs
Neutron Radiation Beam Results for the Xilinx UltraScale+ MPSoC,A Hybrid Approach to FPGA Configuration Scrubbing
Neutron Radiation Beam Results for the Xilinx UltraScale+ MPSoC,Benefits of Complementary SEU Mitigation for the LEON3 Soft Processor on SRAM-Based FPGAs
Single-Event Characterization of 16 nm FinFET Xilinx UltraScale+ Devices with Heavy Ion and Neutron Irradiation,Mitigated FPGA design of multi-gigabit transceivers for application in high radiation environments of High Energy Physics experiments
Single-Event Characterization of 16 nm FinFET Xilinx UltraScale+ Devices with Heavy Ion and Neutron Irradiation,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs
Single-Event Characterization of 16 nm FinFET Xilinx UltraScale+ Devices with Heavy Ion and Neutron Irradiation,A Hybrid Approach to FPGA Configuration Scrubbing
Single-Event Characterization of 16 nm FinFET Xilinx UltraScale+ Devices with Heavy Ion and Neutron Irradiation,Benefits of Complementary SEU Mitigation for the LEON3 Soft Processor on SRAM-Based FPGAs
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,Estimation of 3D Ground Reaction Force Using Nanocomposite Piezo-Responsive Foam Sensors During Walking
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,Toward quantitative characterization of essential tremor for future tremor suppression
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,Multiplexed efficient on-chip sample preparation and sensitive amplification-free detection of Ebola virus
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,Diagnostic and prognostic value of delayed Gadolinium Enhanced Magnetic Resonance Imaging of Cartilage (dGEMRIC) in early osteoarthritis of the hip
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,Differential effects of air conditioning type on residential endotoxin levels in a semi-arid climate
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,Pathology-targeted cell delivery via injectable micro-scaffold capsule mediated by endogenous TGase
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,Re-epithelialization of whole porcine kidneys with renal epithelial cells
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,Inverted L-arm gripper compliant mechanism
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,Nano-Composite Foam Sensor System in Football Helmets
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,Custom 3D printer and resin for 18 μm × 20 μm microfluidic flow channels
Integration of sample preparation and analysis into an optofluidic chip for multi-target disease detection,Fundamental Principles of Tremor Propagation in the Upper Limb
Evaluating Safety Impacts of Access Management Alternatives with the Surrogate Safety Assessment Model,Cross platform usability: Evaluating computing tasks performed on multiple platforms
Evaluating Safety Impacts of Access Management Alternatives with the Surrogate Safety Assessment Model,Planning and Analyzing Experiments with Models that Distinguish Between Replicates and Repeats
Regional Stiffness Reduction Using Lamina Emergent Torsional Joints for Flexible Printed Circuit Board Design,Passive force-deflection behavior of geosynthetic-reinforced soil backfill based on large-scale tests
Regional Stiffness Reduction Using Lamina Emergent Torsional Joints for Flexible Printed Circuit Board Design,"Strength, behavior, and failure mode of hollow concrete masonry constructed with mortars of different strengths"
Regional Stiffness Reduction Using Lamina Emergent Torsional Joints for Flexible Printed Circuit Board Design,Fundamental Principles of Tremor Propagation in the Upper Limb
