Paper,Citation
10.1109/PESGM.2018.8586586/O,10.1109/TPWRS.2016.2611511/O
10.1109/NSREC.2018.8584297/O,10.1016/j.measurement.2017.02.025/O
10.1109/NSREC.2018.8584297/O,10.1109/RADECS.2017.8696210/O
10.1109/NSREC.2018.8584297/O,10.1109/TNS.2016.2636666/O
10.1109/NSREC.2018.8584297/O,10.1109/TNS.2016.2635028/O
10.1109/NSREC.2018.8584313/O,10.1016/j.measurement.2017.02.025/O
10.1109/NSREC.2018.8584313/O,10.1109/RADECS.2017.8696210/O
10.1109/NSREC.2018.8584313/O,10.1109/TNS.2016.2636666/O
10.1109/NSREC.2018.8584313/O,10.1109/TNS.2016.2635028/O
10.1039/c8lc00966j/O,10.1177/2041731417718809/O
10.1039/c8lc00966j/O,10.1007/s10439-017-1910-9/O
10.1039/c8lc00966j/O,10.1109/ICORR.2017.8009242/O
10.1039/c8lc00966j/O,10.1115/1.4036336/O
10.1039/c8lc00966j/O,10.1007/s10439-016-1765-5/O
10.1039/c8lc00966j/O,10.1016/j.joca.2017.05.004/O
10.1039/c8lc00966j/O,10.1016/j.bios.2016.12.071/O
10.1039/c8lc00966j/O,10.1039/c7lc00644f/O
10.1039/c8lc00966j/O,10.1021/acs.bioconjchem.7b00281/O
10.1039/c8lc00966j/O,10.1016/j.biomaterials.2017.02.021/O
10.1039/c8lc00966j/O,10.1111/ina.12369/O
10.1039/c8lc00966j/O,10.1007/s10439-017-1852-2/O
10.1177/0361198118773505/O,10.1002/qre.2047/O
10.1115/1.4040552/O,10.1109/ICRA.2017.7989687/O
10.1115/1.4040552/O,10.1109/RADECS.2017.8696180/O
10.1115/1.4040552/O,10.1007/s10439-016-1765-5/O
10.1115/1.4040552/O,10.1016/j.conbuildmat.2016.12.112/O
10.1115/1.4040552/O,10.1061/9780784480458.003/O
10.1016/j.ijheatmasstransfer.2018.07.044/O,10.1109/TAES.2017.2671785/O
10.1016/j.ijheatmasstransfer.2018.07.044/O,10.1016/j.ijheatmasstransfer.2017.03.044/O
10.1016/j.ijheatmasstransfer.2018.07.044/O,10.1016/j.ijheatmasstransfer.2016.12.076/O
10.1016/j.ijheatmasstransfer.2018.07.044/O,10.4271/2017-01-1329/O
10.1016/j.ijheatmasstransfer.2018.07.044/O,10.1016/j.ijheatmasstransfer.2017.03.055/O
10.1016/j.ijheatmasstransfer.2018.07.044/O,10.1007/978-3-319-52392-7_91/O
10.1016/j.ijheatmasstransfer.2018.07.044/O,10.1109/TPWRS.2016.2611511/O
10.1016/j.ijheatmasstransfer.2018.07.044/O,10.1016/j.ijheatmasstransfer.2017.05.046/O
10.1016/j.ijheatmasstransfer.2018.07.044/O,10.1364/CLEO_AT.2017.JTu5A.128/O
10.1016/j.ijheatmasstransfer.2018.07.044/O,10.1007/s11837-017-2309-7/O
10.1016/j.ijheatmasstransfer.2018.07.044/O,10.1007/s10694-016-0644-9/O
