Paper,Reviewer,Decision,Review
10.1007/978-3-030-51758-8_15,57204029674,True,Not bad at all
10.1007/978-3-030-51758-8_15,46961076700,True,Not bad at all
10.1007/978-3-030-51758-8_15,57218886193,False,Is this a joke?
10.1007/978-3-030-58653-9_3,57194034271,True,The best thing I have ever read
10.1007/978-3-030-58653-9_3,57204964732,True,Interesting
10.1007/978-3-030-58653-9_3,6602649851,True,Interesting
10.1115/1.4047428,57216183270,True,Interesting
10.1115/1.4047428,57201912667,True,Not bad at all
10.1115/1.4047428,57191110417,False,Nothing makes sense
10.1016/j.tele.2020.101448,36459611200,True,Interesting
10.1016/j.tele.2020.101448,7004904337,True,The best thing I have ever read
10.1016/j.tele.2020.101448,34868168700,True,The best thing I have ever read
10.1016/j.epsr.2020.106824,56798055200,True,Not bad at all
10.1016/j.epsr.2020.106824,34874297000,True,Interesting
10.1016/j.epsr.2020.106824,7005345401,True,Interesting
10.1016/j.yofte.2020.102356,57211642778,True,The best thing I have ever read
10.1016/j.yofte.2020.102356,8533888200,True,Not bad at all
10.1016/j.yofte.2020.102356,57203836305,True,Not bad at all
10.1016/j.cag.2020.08.003,57205767010,True,Not bad at all
10.1016/j.cag.2020.08.003,57193360481,True,Interesting
10.1016/j.cag.2020.08.003,57204029674,True,Interesting
10.1016/j.ijepes.2020.106179,57218886189,True,The best thing I have ever read
10.1016/j.ijepes.2020.106179,7202083837,True,Not bad at all
10.1016/j.ijepes.2020.106179,24465414600,True,Not bad at all
10.1088/1361-6528/aba711,7006441571,True,Interesting
10.1088/1361-6528/aba711,7005513246,True,The best thing I have ever read
10.1088/1361-6528/aba711,57195286623,True,The best thing I have ever read
10.1016/j.jclepro.2020.122465,7006420570,True,Not bad at all
10.1016/j.jclepro.2020.122465,57193322440,True,The best thing I have ever read
10.1016/j.jclepro.2020.122465,55542008600,True,Not bad at all
10.1016/j.jmapro.2020.07.034,57216183270,True,Not bad at all
10.1016/j.jmapro.2020.07.034,57214937519,True,Not bad at all
10.1016/j.jmapro.2020.07.034,57202116348,True,The best thing I have ever read
10.1109/LRA.2020.3008140,7004277402,False,Nothing makes sense
10.1109/LRA.2020.3008140,56767836200,True,Not bad at all
10.1109/LRA.2020.3008140,57217317667,True,Interesting
10.1016/j.yofte.2020.102334,57203221999,True,Not bad at all
10.1016/j.yofte.2020.102334,57216187696,True,Interesting
10.1016/j.yofte.2020.102334,57218202833,False,I fell asleep while reading
10.1016/j.cma.2020.113283,57209538650,True,Not bad at all
10.1016/j.cma.2020.113283,55764744500,True,Interesting
10.1016/j.cma.2020.113283,35792700800,True,Interesting
10.1109/MVT.2020.3002494,57217866402,True,The best thing I have ever read
10.1109/MVT.2020.3002494,57218270296,True,Not bad at all
10.1109/MVT.2020.3002494,57210287346,True,Not bad at all
10.1007/s10921-020-00695-0,57212107391,True,Interesting
10.1007/s10921-020-00695-0,57202860730,True,The best thing I have ever read
10.1007/s10921-020-00695-0,57216244800,True,The best thing I have ever read
10.1016/j.applthermaleng.2020.115658,57211500187,True,Interesting
10.1016/j.applthermaleng.2020.115658,36167063600,True,Interesting
10.1016/j.applthermaleng.2020.115658,57209889565,False,Is this a joke?
10.1016/j.jclepro.2020.121786,57190371042,True,Interesting
10.1016/j.jclepro.2020.121786,7601492574,True,The best thing I have ever read
10.1016/j.jclepro.2020.121786,57211105311,False,My dog can write better
10.1109/MWSCAS48704.2020.9184626,57206024435,True,Not bad at all
10.1109/MWSCAS48704.2020.9184626,57211516485,True,The best thing I have ever read
10.1109/MWSCAS48704.2020.9184626,6701834327,False,My dog can write better
10.1109/IRI49571.2020.00045,57190402922,True,Interesting
10.1109/IRI49571.2020.00045,57200884469,True,The best thing I have ever read
10.1109/IRI49571.2020.00045,56012631600,True,The best thing I have ever read
10.1016/j.scriptamat.2020.03.062,38662818500,True,Interesting
10.1016/j.scriptamat.2020.03.062,57199050938,True,Not bad at all
10.1016/j.scriptamat.2020.03.062,57203486012,True,Interesting
10.1109/MWSCAS48704.2020.9184542,57210292389,True,Interesting
10.1109/MWSCAS48704.2020.9184542,57215607275,True,The best thing I have ever read
10.1109/MWSCAS48704.2020.9184542,57218761022,True,The best thing I have ever read
10.1109/TAES.2019.2952701,24923036100,False,I fell asleep while reading
10.1109/TAES.2019.2952701,57192595504,True,Interesting
10.1109/TAES.2019.2952701,57193807582,True,The best thing I have ever read
10.1177/0278364920903094,57201722090,False,Nothing makes sense
10.1177/0278364920903094,57203660684,True,The best thing I have ever read
10.1177/0278364920903094,57192247939,True,The best thing I have ever read
10.1080/08982112.2019.1698744,56260937200,True,The best thing I have ever read
10.1080/08982112.2019.1698744,57081918700,True,Not bad at all
10.1080/08982112.2019.1698744,7005513246,True,Not bad at all
10.1115/1.4045448,57205765859,True,Interesting
10.1115/1.4045448,24758929200,True,The best thing I have ever read
10.1115/1.4045448,57198146081,True,Not bad at all
10.1109/JAS.2020.1003222,57195286623,False,My dog can write better
10.1109/JAS.2020.1003222,57203957449,True,The best thing I have ever read
10.1109/JAS.2020.1003222,53878508900,True,Interesting
10.1115/1.4045814,8922674200,True,Interesting
10.1115/1.4045814,16229559200,True,The best thing I have ever read
10.1115/1.4045814,57217317667,True,The best thing I have ever read
10.3397/1/376825,14831622300,False,Meh
10.3397/1/376825,57209581042,True,Interesting
10.3397/1/376825,57201360985,True,Not bad at all
10.1016/j.mechmachtheory.2020.103813,13411176900,True,Not bad at all
10.1016/j.mechmachtheory.2020.103813,56045493000,True,Interesting
10.1016/j.mechmachtheory.2020.103813,56748981000,True,Not bad at all
10.23919/ACC45564.2020.9147931,56798055200,True,The best thing I have ever read
10.23919/ACC45564.2020.9147931,55849071700,False,Nothing makes sense
10.23919/ACC45564.2020.9147931,56380927900,True,The best thing I have ever read
10.1109/TNS.2020.2983662,7005513246,True,Not bad at all
10.1109/TNS.2020.2983662,55367023500,True,Interesting
10.1109/TNS.2020.2983662,56040243400,False,Meh
10.1049/iet-gtd.2019.1148,57210927548,True,The best thing I have ever read
10.1049/iet-gtd.2019.1148,56102505100,True,Not bad at all
10.1049/iet-gtd.2019.1148,57204469757,True,The best thing I have ever read
10.1002/qre.2638,7005513246,False,My dog can write better
10.1002/qre.2638,55855376400,True,Interesting
10.1002/qre.2638,57204032253,True,The best thing I have ever read
10.1109/TAES.2020.2972245,57210287166,True,Interesting
10.1109/TAES.2020.2972245,57207110219,True,Not bad at all
10.1109/TAES.2020.2972245,57214580514,True,The best thing I have ever read
10.1002/navi.364,56148594700,True,Not bad at all
10.1002/navi.364,57209640119,False,I would not even use it as toilet paper
10.1002/navi.364,8621794000,True,The best thing I have ever read
10.1016/j.msea.2020.139380,6603089864,True,Interesting
10.1016/j.msea.2020.139380,57193834529,True,Not bad at all
10.1016/j.msea.2020.139380,57215697686,True,Not bad at all
10.1002/admi.201901887,55457444300,True,Interesting
10.1002/admi.201901887,56165315000,True,Not bad at all
10.1002/admi.201901887,57200117690,True,The best thing I have ever read
10.1115/1.4044323,57188681207,True,The best thing I have ever read
10.1115/1.4044323,55249877500,True,Not bad at all
10.1115/1.4044323,57197765353,False,Is this a joke?
10.1088/1361-6439/ab7f53,57089497400,True,Interesting
10.1088/1361-6439/ab7f53,6601976036,False,Nothing makes sense
10.1088/1361-6439/ab7f53,57189445479,True,Interesting
10.1016/j.addma.2020.101127,6701863708,True,Interesting
10.1016/j.addma.2020.101127,24401574900,True,Interesting
10.1016/j.addma.2020.101127,55945072200,True,The best thing I have ever read
10.1007/s12274-020-2672-5,57218202833,True,Not bad at all
10.1007/s12274-020-2672-5,57211987837,True,The best thing I have ever read
10.1007/s12274-020-2672-5,57217789464,True,Not bad at all
10.1109/IPDPSW50202.2020.00041,7005089148,True,Interesting
10.1109/IPDPSW50202.2020.00041,23987692400,False,My dog can write better
10.1109/IPDPSW50202.2020.00041,6603325558,True,Interesting
10.1142/S0218127420500911,56767836200,True,Interesting
10.1142/S0218127420500911,55845968200,True,Interesting
10.1142/S0218127420500911,7005345401,True,The best thing I have ever read
10.1016/j.cma.2020.112900,7004435321,True,Interesting
10.1016/j.cma.2020.112900,56781290700,False,My dog can write better
10.1016/j.cma.2020.112900,55487415500,True,Interesting
10.3390/en13092192,55315026400,False,Nothing makes sense
10.3390/en13092192,57200687939,True,Interesting
10.3390/en13092192,57204031131,True,The best thing I have ever read
10.1007/s11837-020-04075-x,7004495126,True,The best thing I have ever read
10.1007/s11837-020-04075-x,54415193700,True,Interesting
10.1007/s11837-020-04075-x,57203028829,True,Not bad at all
10.1021/acsabm.0c00055,57198146081,True,Interesting
10.1021/acsabm.0c00055,57199050938,False,I fell asleep while reading
10.1021/acsabm.0c00055,57204029674,True,Interesting
10.4271/2020-01-0224,57193564939,True,Interesting
10.4271/2020-01-0224,23052031200,True,Not bad at all
10.4271/2020-01-0224,36245410800,True,The best thing I have ever read
10.1115/1.4044161,57208341600,True,Not bad at all
10.1115/1.4044161,55946345200,True,Interesting
10.1115/1.4044161,57214773567,True,The best thing I have ever read
10.1109/LRA.2020.2965393,57197797367,True,Interesting
10.1109/LRA.2020.2965393,57218202833,True,Not bad at all
10.1109/LRA.2020.2965393,8922674200,False,I fell asleep while reading
10.1109/IRPS45951.2020.9128839,55301279200,True,Interesting
10.1109/IRPS45951.2020.9128839,8929123100,False,I would not even use it as toilet paper
10.1109/IRPS45951.2020.9128839,7005636820,True,Not bad at all
10.3390/MI11040349,57194875876,False,I would not even use it as toilet paper
10.3390/MI11040349,7004904337,True,The best thing I have ever read
10.3390/MI11040349,37086141200,True,The best thing I have ever read
10.1109/MAP.2020.2969269,57202776341,True,Interesting
10.1109/MAP.2020.2969269,7004904337,True,Interesting
10.1109/MAP.2020.2969269,57216183270,True,The best thing I have ever read
10.1103/PhysRevFluids.5.044308,56767836200,True,The best thing I have ever read
10.1103/PhysRevFluids.5.044308,56012631600,True,The best thing I have ever read
10.1103/PhysRevFluids.5.044308,56261172000,True,Interesting
10.1061/(ASCE)BE.1943-5592.0001533,57194116428,True,Not bad at all
10.1061/(ASCE)BE.1943-5592.0001533,57203980122,True,The best thing I have ever read
10.1061/(ASCE)BE.1943-5592.0001533,57218202833,True,Interesting
10.1021/acsaem.9b02252,23091904000,True,The best thing I have ever read
10.1021/acsaem.9b02252,57194158491,True,The best thing I have ever read
10.1021/acsaem.9b02252,56029648000,True,Interesting
10.1016/j.apenergy.2019.114382,7005513246,True,Not bad at all
10.1016/j.apenergy.2019.114382,57193322440,True,The best thing I have ever read
10.1016/j.apenergy.2019.114382,57215031057,True,Not bad at all
10.1109/CICC48029.2020.9075917,35790633100,True,The best thing I have ever read
10.1109/CICC48029.2020.9075917,57205288709,True,Not bad at all
10.1109/CICC48029.2020.9075917,57216749286,False,I fell asleep while reading
10.1016/j.ijmachtools.2019.103512,57201634652,True,Interesting
10.1016/j.ijmachtools.2019.103512,57207334294,False,I would not even use it as toilet paper
10.1016/j.ijmachtools.2019.103512,55542008600,True,The best thing I have ever read
10.1016/j.sna.2020.111851,57208184650,True,The best thing I have ever read
10.1016/j.sna.2020.111851,57201666213,True,Interesting
10.1016/j.sna.2020.111851,36349287300,False,I fell asleep while reading
10.1016/j.mechmachtheory.2019.103700,7006815587,True,Not bad at all
10.1016/j.mechmachtheory.2019.103700,6505524737,False,Meh
10.1016/j.mechmachtheory.2019.103700,57210914089,True,Interesting
10.1016/j.apenergy.2019.114358,57201634652,True,Not bad at all
10.1016/j.apenergy.2019.114358,7004904337,True,Interesting
10.1016/j.apenergy.2019.114358,57203943386,True,The best thing I have ever read
10.1016/j.commatsci.2019.109340,56363360200,False,I fell asleep while reading
10.1016/j.commatsci.2019.109340,57217789464,True,Not bad at all
10.1016/j.commatsci.2019.109340,36245410800,True,The best thing I have ever read
10.1080/09205071.2020.1715267,57210290270,True,Interesting
10.1080/09205071.2020.1715267,35562442700,False,I fell asleep while reading
10.1080/09205071.2020.1715267,56330970800,True,Not bad at all
10.1109/JMEMS.2019.2953152,7006111578,True,The best thing I have ever read
10.1109/JMEMS.2019.2953152,7004234161,False,Is this a joke?
10.1109/JMEMS.2019.2953152,57193834529,True,The best thing I have ever read
10.1007/s10853-019-04125-z,7005357023,True,The best thing I have ever read
10.1007/s10853-019-04125-z,57216181629,False,I fell asleep while reading
10.1007/s10853-019-04125-z,36913263000,True,Not bad at all
10.1016/j.ijheatmasstransfer.2019.119031,57217581937,False,My dog can write better
10.1016/j.ijheatmasstransfer.2019.119031,6701777223,True,Interesting
10.1016/j.ijheatmasstransfer.2019.119031,8369472600,True,Interesting
10.1016/j.micromeso.2019.109799,57203308821,True,The best thing I have ever read
10.1016/j.micromeso.2019.109799,55345299700,True,The best thing I have ever read
10.1016/j.micromeso.2019.109799,57194692502,True,Interesting
10.1016/j.isatra.2019.08.014,34874297000,True,Not bad at all
10.1016/j.isatra.2019.08.014,16178649400,True,The best thing I have ever read
10.1016/j.isatra.2019.08.014,6507358470,True,Not bad at all
10.1016/j.est.2019.101043,57211254337,True,The best thing I have ever read
10.1016/j.est.2019.101043,56363360200,True,Not bad at all
10.1016/j.est.2019.101043,56148594700,True,Interesting
10.1109/TAES.2019.2918014,57202152391,False,I would not even use it as toilet paper
10.1109/TAES.2019.2918014,57207110219,True,The best thing I have ever read
10.1109/TAES.2019.2918014,57209881955,True,Interesting
10.1016/j.ijheatmasstransfer.2019.118924,7202035366,True,Not bad at all
10.1016/j.ijheatmasstransfer.2019.118924,57214718289,True,Interesting
10.1016/j.ijheatmasstransfer.2019.118924,55315026400,False,My dog can write better
10.1038/s41587-019-0399-1,7403218372,True,Not bad at all
10.1038/s41587-019-0399-1,8715877100,False,Is this a joke?
10.1038/s41587-019-0399-1,40561545600,True,The best thing I have ever read
10.1016/j.msea.2019.138704,57215598228,True,Not bad at all
10.1016/j.msea.2019.138704,7005636820,True,Not bad at all
10.1016/j.msea.2019.138704,7201741468,True,Interesting
10.1016/j.jclepro.2019.118703,57203179434,True,Interesting
10.1016/j.jclepro.2019.118703,56741048000,True,The best thing I have ever read
10.1016/j.jclepro.2019.118703,7402074463,True,Interesting
10.1049/el.2019.2591,7003609448,True,Interesting
10.1049/el.2019.2591,57201634652,True,The best thing I have ever read
10.1049/el.2019.2591,7006410098,True,Not bad at all
10.1080/09205063.2019.1669126,57204799155,False,Meh
10.1080/09205063.2019.1669126,57205504743,True,Interesting
10.1080/09205063.2019.1669126,57213372150,True,Interesting
10.1177/0021998320959820,7101608513,True,The best thing I have ever read
10.1177/0021998320959820,23977815400,True,Interesting
10.1177/0021998320959820,57195217444,False,Nothing makes sense
10.1109/MCSE.2020.3012099,57205881788,True,Interesting
10.1109/MCSE.2020.3012099,19638969800,True,Interesting
10.1109/MCSE.2020.3012099,57218221803,False,My dog can write better
10.1007/978-3-030-51194-4_40,35262249500,True,The best thing I have ever read
10.1007/978-3-030-51194-4_40,57197773578,True,Not bad at all
10.1007/978-3-030-51194-4_40,55813139600,True,Interesting
10.1007/978-3-030-52246-9_44,57210260262,True,Not bad at all
10.1007/978-3-030-52246-9_44,16043812000,False,I fell asleep while reading
10.1007/978-3-030-52246-9_44,7102523474,True,Not bad at all
10.1088/1361-6439/ab4cc9,57194231165,True,Interesting
10.1088/1361-6439/ab4cc9,35547089300,False,My dog can write better
10.1088/1361-6439/ab4cc9,57209911428,True,Interesting
10.1109/RAMS48030.2020.9153662,16643231700,False,Meh
10.1109/RAMS48030.2020.9153662,7202277096,True,The best thing I have ever read
10.1109/RAMS48030.2020.9153662,24401574900,True,Not bad at all
10.1177/0278364920911960,7005513246,True,Not bad at all
10.1177/0278364920911960,57191110417,True,Not bad at all
10.1177/0278364920911960,57188688103,True,Interesting
10.14733/cadaps.2020.1020-1033,57205767010,True,Not bad at all
10.14733/cadaps.2020.1020-1033,57192955909,True,Not bad at all
10.14733/cadaps.2020.1020-1033,57194034271,False,Nothing makes sense
10.1016/j.ndteint.2019.102177,57203186135,True,The best thing I have ever read
10.1016/j.ndteint.2019.102177,7102879142,False,Meh
10.1016/j.ndteint.2019.102177,57202852946,True,Interesting
10.2514/1.J058778,57218202833,True,Not bad at all
10.2514/1.J058778,7402786794,True,Not bad at all
10.2514/1.J058778,36011148100,False,I would not even use it as toilet paper
10.1177/0361198120915470,7201675107,True,The best thing I have ever read
10.1177/0361198120915470,7004904337,True,The best thing I have ever read
10.1177/0361198120915470,57210928665,False,My dog can write better
10.1007/978-3-030-52249-0_18,6602649851,True,Not bad at all
10.1007/978-3-030-52249-0_18,57218761022,True,Interesting
10.1007/978-3-030-52249-0_18,57203310052,True,Interesting
10.1007/s40870-020-00254-8,55359526600,True,Not bad at all
10.1007/s40870-020-00254-8,57191155872,True,Interesting
10.1007/s40870-020-00254-8,57210911049,True,Interesting
10.2514/1.I010766,35186389400,True,Not bad at all
10.2514/1.I010766,57210920448,True,Interesting
10.2514/1.I010766,56714263700,True,The best thing I have ever read
10.1109/TNS.2019.2956473,57208709846,True,Interesting
10.1109/TNS.2019.2956473,35209941000,True,Interesting
10.1109/TNS.2019.2956473,55627591500,True,Interesting
10.1109/TNS.2019.2955006,57209538650,True,The best thing I have ever read
10.1109/TNS.2019.2955006,7101816954,True,Interesting
10.1109/TNS.2019.2955006,19638969800,True,Interesting
10.1016/j.ndteint.2019.102181,57218202833,True,Not bad at all
10.1016/j.ndteint.2019.102181,57210923446,True,The best thing I have ever read
10.1016/j.ndteint.2019.102181,6506311950,True,Not bad at all
10.1016/j.mechmachtheory.2019.103618,7004307869,True,Interesting
10.1016/j.mechmachtheory.2019.103618,57208255032,True,The best thing I have ever read
10.1016/j.mechmachtheory.2019.103618,7201675107,True,Not bad at all
10.1016/j.isatra.2020.05.035,57191620725,True,Not bad at all
10.1016/j.isatra.2020.05.035,57192697616,True,The best thing I have ever read
10.1016/j.isatra.2020.05.035,19638969800,False,I would not even use it as toilet paper
10.2514/1J059112,12142543700,False,Nothing makes sense
10.2514/1J059112,57219327922,True,Not bad at all
10.2514/1J059112,57219332168,True,Interesting
10.1177/0361198120915466,7005513246,True,Interesting
10.1177/0361198120915466,36913263000,True,The best thing I have ever read
10.1177/0361198120915466,57217866402,True,Interesting
10.1109/LAWP.2019.2956219,6506311950,True,Interesting
10.1109/LAWP.2019.2956219,7402967162,True,Not bad at all
10.1109/LAWP.2019.2956219,7406552522,True,The best thing I have ever read
