Paper,Reviewers
Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,23050937200;56490084100;13605498800
Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,8421746800;57211282830;57210260262
Structural design space exploration using principal component analysis,57194034271;57201634652;57195420301
Religion-focused dating apps: A Q methodology study on the uses of mutual,6602649851;34868168700;57204029674
Interleaving physics- and data-driven models for power system transient dynamics,8392459500;57210288045;55100119300
Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,36011148100;7004092560;7004904337
The effects of transition style for collaborative view sharing in immersive Virtual Reality,57207689986;6506484066;57195420301
Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,57218886189;57211254337;57191620725
Solid-state membranes formed on natural menisci,56387524600;55546296200;28167695400
Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,57194391871;18535712500;57205766759
Investigating steel tool life in the RFSSW process,57217789464;57211105311;7202518970
"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",57207901363;57215280005;56371366400
In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,6506311950;8705255200;57200529047
An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,57202904399;55649569259;6601908155
Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,36499438800;57201864184;17434035200
High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,56781290700;35182844400;6701610428
"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity",14059209700;8660143800;57204229694
"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",57216989927;7003663333;7401969039
A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,36006215900;57205348362;36082483100
"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",57218593446;56363360200;7006533953
"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",57203221999;55258876800;57190402922
Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,35409277700;55694540600;56911636200
A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),57200117690;57200390842;57195995765
Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,57208682307;55547115089;6507391043
Relative multiplicative extended Kalman filter for observable GPS-denied navigation,7201675107;57204032253;56824897200
Municipal wastewater treatment by semi-continuous and membrane algal-bacterial photo-bioreactors,56781290700;56287595000;57205348362
Estimating correlations with censored data,57202192401;9942259800;57217871738
"Social impact in product design, an exploration of current industry practices",57212343330;7006441571;57217317667
An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,7003381644;57205388766;7006542177
Tracking joint angles during whole-arm movements using electromagnetic sensors,57212345817;36708895400;55544941800
Case study: Noise reduction of a vacuum-assisted toilet,55220932600;14831622300;56857577200
Developable mechanisms on right conical surfaces,57212345817;55916540700;57195804520
State-Dependent LQR Control for a Tilt-Rotor UAV,57215823167;57218886189;24830555500
"Understanding the Impact of Quantization, Accuracy, and Radiation on the Reliability of Convolutional Neural Networks on FPGAs",57215823167;57211158470;56040243400
Flexible hybrid state estimation for power systems with communication irregularities,35562442700;55727966500;57211332837
