Paper,Reviewer,Decision,Review
Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,Staves D.R.,True,Not bad at all
Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,Anderson B.B.,True,The best thing I have ever read
Self-assessment of Proficiency of Intelligent Systems: Challenges and Opportunities,Paré P.E.,False,I fell asleep while reading
Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,Arce S.,True,The best thing I have ever read
Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,Wilson B.,True,The best thing I have ever read
Bridging theory to practice: Feedforward and cascade control with tclab arduino kit,Xue M.,True,The best thing I have ever read
Structural design space exploration using principal component analysis,Tolman K.,True,The best thing I have ever read
Structural design space exploration using principal component analysis,Unrau M.A.,True,The best thing I have ever read
Structural design space exploration using principal component analysis,Guthrie W.S.,True,Not bad at all
Religion-focused dating apps: A Q methodology study on the uses of mutual,Salmon J.L.,False,My dog can write better
Religion-focused dating apps: A Q methodology study on the uses of mutual,Willey L.C.,True,Interesting
Religion-focused dating apps: A Q methodology study on the uses of mutual,Garcia E.,True,The best thing I have ever read
Interleaving physics- and data-driven models for power system transient dynamics,Banesh D.,True,Not bad at all
Interleaving physics- and data-driven models for power system transient dynamics,Anderson R.,True,The best thing I have ever read
Interleaving physics- and data-driven models for power system transient dynamics,Saquib M.,True,Interesting
Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,Mitschang P.,True,Not bad at all
Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,Endruweit A.,False,Nothing makes sense
Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,Liotier P.-J.,True,Not bad at all
The effects of transition style for collaborative view sharing in immersive Virtual Reality,Feeman S.M.,True,Interesting
The effects of transition style for collaborative view sharing in immersive Virtual Reality,Adamson M.,True,Interesting
The effects of transition style for collaborative view sharing in immersive Virtual Reality,Brueseke M.,True,Not bad at all
Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,Jensen B.,True,Not bad at all
Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,Redd B.,True,Interesting
Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,Song R.,True,The best thing I have ever read
Solid-state membranes formed on natural menisci,Chiang S.-H.W.,True,The best thing I have ever read
Solid-state membranes formed on natural menisci,Ganjalizadeh V.,True,The best thing I have ever read
Solid-state membranes formed on natural menisci,Hamilton E.S.,True,The best thing I have ever read
Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,Wang X.,True,The best thing I have ever read
Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,Jesiek B.,True,Interesting
Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,Gunnarsson A.,False,I fell asleep while reading
Investigating steel tool life in the RFSSW process,Gunter C.,True,Interesting
Investigating steel tool life in the RFSSW process,Meaker K.S.,True,The best thing I have ever read
Investigating steel tool life in the RFSSW process,Liu F.C.,True,Interesting
"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",Landers N.,True,The best thing I have ever read
"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",Bartschi J.M.,True,Not bad at all
"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",Loiseau J.,True,Not bad at all
In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,Miao D.,False,I would not even use it as toilet paper
In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,Pan Z.,True,Not bad at all
In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,Katayama I.,True,Interesting
An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,Mishra R.K.,False,Nothing makes sense
An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,Gou Y.,True,Interesting
An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,Corie T.H.,True,Not bad at all
Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,Metro D.,True,Not bad at all
Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,Gomes M.,True,Not bad at all
Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,Fulda N.,True,Not bad at all
High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,Martens D.R.W.,False,I would not even use it as toilet paper
High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,Du K.,True,Not bad at all
High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,Brueseke M.,True,Interesting
