Paper,Reviewers
10.1007/978-3-030-51758-8_15,7801515665;7006542177;56819566000
10.1007/978-3-030-58653-9_3,55279219900;57202320825;8929123100
10.1115/1.4047428,24923036100;35409277700;56818839700
10.1016/j.tele.2020.101448,36459611200;57021948900;56830076500
10.1016/j.epsr.2020.106824,57218202833;36987999600;56442655200
10.1016/j.yofte.2020.102356,57195579636;16422844400;6602499334
10.1016/j.cag.2020.08.003,8244752200;7004904337;57200699937
10.1016/j.ijepes.2020.106179,57218886153;57201864184;57218202833
10.1088/1361-6528/aba711,57219015425;57202735625;54781821400
10.1016/j.jclepro.2020.122465,57204719621;57203572325;57217866402
10.1016/j.jmapro.2020.07.034,46062451500;57218202833;57193749678
10.1109/LRA.2020.3008140,55487415500;36245410800;55864283000
10.1016/j.yofte.2020.102334,57190384916;7103004161;57202445593
10.1016/j.cma.2020.113283,57207901363;57192307368;57215534774
10.1109/MVT.2020.3002494,56248593800;57210288854;57191995887
10.1007/s10921-020-00695-0,7005531426;15766049500;57194859276
10.1016/j.applthermaleng.2020.115658,13406135400;57216989927;57209881955
10.1016/j.jclepro.2020.121786,36137344800;56484754900;57211105311
10.1109/MWSCAS48704.2020.9184626,7404766197;57212110613;7003678761
10.1109/IRI49571.2020.00045,57209978209;55849071700;57202320825
10.1016/j.scriptamat.2020.03.062,57203486012;57217789464;57212089454
10.1109/MWSCAS48704.2020.9184542,57197733358;57215680724;57217041570
10.1109/TAES.2019.2952701,57208255032;57205292526;6507270351
10.1177/0278364920903094,35147940600;7201675107;57210288045
10.1080/08982112.2019.1698744,8244752200;39862017300;7202711709
10.1115/1.4045448,57205762398;57217871738;57211282830
10.1109/JAS.2020.1003222,23570183200;36176552000;6701834327
10.1115/1.4045814,8533888200;57217654846;57191477766
10.3397/1/376825,57219332168;7202538835;55220932600
10.1016/j.mechmachtheory.2020.103813,7004904337;6602997992;56584019300
10.23919/ACC45564.2020.9147931,36106810300;6603286802;57218102993
10.1109/TNS.2020.2983662,35209941000;12544690900;57191918589
10.1049/iet-gtd.2019.1148,57218202833;57204029674;57204031131
10.1002/qre.2638,57204029674;57204032253;56830076500
10.1109/TAES.2020.2972245,55547115089;56148594700;57196465311
10.1002/navi.364,24923036100;57203017789;6701876192
10.1016/j.msea.2020.139380,24780432200;57215697686;12761902000
10.1002/admi.201901887,7202687601;55764401200;6701863708
10.1115/1.4044323,57197791798;57212107391;7005513246
10.1088/1361-6439/ab7f53,57197791798;55694540600;57209911428
10.1016/j.addma.2020.101127,57193720916;55812232700;8448666000
10.1007/s12274-020-2672-5,57213462935;57208823236;57215609504
10.1109/IPDPSW50202.2020.00041,57201125120;57194392244;57204825465
10.1142/S0218127420500911,57202785989;57201947722;57201759181
10.1016/j.cma.2020.112900,7004435321;36055605700;23134948300
10.3390/en13092192,57190371042;6508306234;57204031131
10.1007/s11837-020-04075-x,55904183100;57203028829;57211158470
10.1021/acsabm.0c00055,57205329719;16422844400;12778890800
10.4271/2020-01-0224,57203221999;57190228554;46062451500
10.1115/1.4044161,57204475222;53878508900;36349287300
