Paper,Reviewer,Decision,Review
10.1007/978-3-030-51758-8_15,46961076700,True,The best thing I have ever read
10.1007/978-3-030-51758-8_15,13605498800,True,Interesting
10.1007/978-3-030-51758-8_15,6603625990,True,Interesting
10.1007/978-3-030-58653-9_3,57200118993,False,My dog can write better
10.1007/978-3-030-58653-9_3,57209581042,True,Interesting
10.1007/978-3-030-58653-9_3,55904183100,True,Interesting
10.1115/1.4047428,56976354400,False,Meh
10.1115/1.4047428,7003302831,True,The best thing I have ever read
10.1115/1.4047428,56363360200,True,Not bad at all
10.1016/j.tele.2020.101448,7402074463,True,Not bad at all
10.1016/j.tele.2020.101448,57218202833,True,The best thing I have ever read
10.1016/j.tele.2020.101448,34868168700,True,The best thing I have ever read
10.1016/j.epsr.2020.106824,34874297000,False,I would not even use it as toilet paper
10.1016/j.epsr.2020.106824,57202855772,True,Interesting
10.1016/j.epsr.2020.106824,7003868048,True,Not bad at all
10.1016/j.yofte.2020.102356,16422844400,True,The best thing I have ever read
10.1016/j.yofte.2020.102356,57213372150,True,Not bad at all
10.1016/j.yofte.2020.102356,56890178400,True,Not bad at all
10.1016/j.cag.2020.08.003,57205285411,True,Not bad at all
10.1016/j.cag.2020.08.003,23569552400,True,The best thing I have ever read
10.1016/j.cag.2020.08.003,57188658434,False,Meh
10.1016/j.ijepes.2020.106179,57218886153,True,The best thing I have ever read
10.1016/j.ijepes.2020.106179,7004904337,True,Interesting
10.1016/j.ijepes.2020.106179,56020026900,True,Not bad at all
10.1088/1361-6528/aba711,57219005376,True,The best thing I have ever read
10.1088/1361-6528/aba711,55645613600,True,Not bad at all
10.1088/1361-6528/aba711,57195286623,True,Interesting
10.1016/j.jclepro.2020.122465,57194679331,True,Interesting
10.1016/j.jclepro.2020.122465,57189491950,True,Not bad at all
10.1016/j.jclepro.2020.122465,56221901100,True,Interesting
10.1016/j.jmapro.2020.07.034,46062451500,True,The best thing I have ever read
10.1016/j.jmapro.2020.07.034,57200687939,True,Interesting
10.1016/j.jmapro.2020.07.034,6701863708,True,Interesting
10.1109/LRA.2020.3008140,57212379321,False,I would not even use it as toilet paper
10.1109/LRA.2020.3008140,57215280005,True,The best thing I have ever read
10.1109/LRA.2020.3008140,6602958570,True,Interesting
10.1016/j.yofte.2020.102334,56453304300,True,The best thing I have ever read
10.1016/j.yofte.2020.102334,55971908500,True,Interesting
10.1016/j.yofte.2020.102334,57192067288,True,Interesting
10.1016/j.cma.2020.113283,57194006378,True,The best thing I have ever read
10.1016/j.cma.2020.113283,57217581770,True,Not bad at all
10.1016/j.cma.2020.113283,25930868900,True,Interesting
10.1109/MVT.2020.3002494,57201864184,True,The best thing I have ever read
10.1109/MVT.2020.3002494,56830076500,True,Not bad at all
10.1109/MVT.2020.3002494,36668159600,True,Interesting
10.1007/s10921-020-00695-0,7403218372,False,Is this a joke?
10.1007/s10921-020-00695-0,57212147414,True,The best thing I have ever read
10.1007/s10921-020-00695-0,55359090100,True,Interesting
10.1016/j.applthermaleng.2020.115658,7006253705,False,My dog can write better
10.1016/j.applthermaleng.2020.115658,7004848095,True,Interesting
10.1016/j.applthermaleng.2020.115658,6602889035,True,Not bad at all
10.1016/j.jclepro.2020.121786,57200205435,False,Nothing makes sense
10.1016/j.jclepro.2020.121786,57206455220,True,Interesting
10.1016/j.jclepro.2020.121786,57205128747,True,Interesting
10.1109/MWSCAS48704.2020.9184626,7006533953,True,The best thing I have ever read
10.1109/MWSCAS48704.2020.9184626,57217789464,True,Interesting
10.1109/MWSCAS48704.2020.9184626,35303536900,True,The best thing I have ever read
10.1109/IRI49571.2020.00045,57218685929,True,The best thing I have ever read
10.1109/IRI49571.2020.00045,7005513246,False,My dog can write better
10.1109/IRI49571.2020.00045,57189292901,True,The best thing I have ever read
10.1016/j.scriptamat.2020.03.062,53878508900,True,Not bad at all
10.1016/j.scriptamat.2020.03.062,57218591162,True,Not bad at all
10.1016/j.scriptamat.2020.03.062,55739722900,True,Interesting
10.1109/MWSCAS48704.2020.9184542,57215687139,False,Is this a joke?
10.1109/MWSCAS48704.2020.9184542,57218593962,True,Interesting
10.1109/MWSCAS48704.2020.9184542,57218593446,True,The best thing I have ever read
10.1109/TAES.2019.2952701,57205765859,True,The best thing I have ever read
10.1109/TAES.2019.2952701,7004945584,True,The best thing I have ever read
10.1109/TAES.2019.2952701,56798055200,False,I fell asleep while reading
10.1177/0278364920903094,8244752200,True,The best thing I have ever read
10.1177/0278364920903094,57217871738,True,The best thing I have ever read
10.1177/0278364920903094,57188691775,True,The best thing I have ever read
10.1080/08982112.2019.1698744,57081918700,True,The best thing I have ever read
10.1080/08982112.2019.1698744,7103186661,True,Not bad at all
